ccaa,pop
Andalucía,8414240
Aragón,1319291
Asturias,1022800
Baleares,1149460
C. Valenciana,5003769
Canarias,2153389
Cantabria,581078
Cataluña,7675217
Ceuta,84777
CLM,2032863
CyL,2399548
Extremadura,1067710
Galicia,2699499
La Rioja,316798
Madrid,6663394
Melilla,86487
Murcia,1493898
Navarra,654214
País Vasco,2207776
