Age,M,F
0-4,2536355,2511474
5-9,2239211,2226551
10-14,1977155,1982048
15-19,1701542,1724558
20-24,1384237,1418451
25-29,1130193,1168559
30-34,928378,972868
35-39,750291,821736
40-44,575175,662363
45-49,423669,540110
50-54,319138,437625
55-59,256257,341563
60-64,195006,267453
65-69,146329,214034
70-74,96626,158012
75-79,53848,99835
80-84,23922,51382
85-89,7154,17780
90-94,1239,3418
95-99,123,365
100+,3,7
