Age,M,F
0-4,4818734,4709417
5-9,4280514,4181719
10-14,3760216,3681201
15-19,3119272,3075455
20-24,2561767,2544850
25-29,2236510,2231975
30-34,1887414,1897098
35-39,1572817,1580800
40-44,1291175,1295880
45-49,1019449,1029185
50-54,782754,807562
55-59,583584,629132
60-64,424119,482803
65-69,292028,357384
70-74,191665,262252
75-79,101540,154558
80-84,43058,74604
85-89,11979,24184
90-94,1871,4377
95-99,153,399
100+,2,5
