Age,M,F
0-4,1734236,1674025
5-9,1537799,1484970
10-14,1348348,1299774
15-19,1137304,1094316
20-24,943121,915080
25-29,777000,762588
30-34,643377,640025
35-39,533085,539583
40-44,419976,437136
45-49,320293,347126
50-54,248934,283850
55-59,182511,224224
60-64,129395,174111
65-69,86056,127092
70-74,56802,86617
75-79,31949,51971
80-84,13066,22720
85-89,3719,6855
90-94,721,1380
95-99,81,165
100+,0,1
