Age,M,F
0-4,1050421,1005366
5-9,1004494,961657
10-14,986058,944972
15-19,985261,948771
20-24,896922,875448
25-29,783489,783665
30-34,647574,670827
35-39,548310,593930
40-44,426073,489629
45-49,322404,389890
50-54,249891,310909
55-59,201806,253597
60-64,171019,212504
65-69,140322,171787
70-74,93635,116114
75-79,70253,86029
80-84,47207,58400
85-89,24616,32463
90-94,8376,12378
95-99,1695,2915
100+,124,275
