CCAA,date,cases,ccaa
CT,2020-02-08,0,Cataluña
EX,2020-02-08,1,Extremadura
GA,2020-02-08,0,Galicia
IB,2020-02-08,0,Baleares
MC,2020-02-08,0,Murcia
MD,2020-02-08,8,Madrid
ML,2020-02-08,0,Melilla
NC,2020-02-08,0,Navarra
PV,2020-02-08,0,País Vasco
RI,2020-02-08,0,La Rioja
VC,2020-02-08,0,C. Valenciana
AN,2020-02-09,1,Andalucía
AR,2020-02-09,0,Aragón
AS,2020-02-09,0,Asturias
CB,2020-02-09,0,Cantabria
CE,2020-02-09,0,Ceuta
CL,2020-02-09,0,CyL
CM,2020-02-09,0,CLM
CN,2020-02-09,0,Canarias
CT,2020-02-09,1,Cataluña
EX,2020-02-09,0,Extremadura
GA,2020-02-09,0,Galicia
IB,2020-02-09,0,Baleares
MC,2020-02-09,0,Murcia
MD,2020-02-09,2,Madrid
ML,2020-02-09,0,Melilla
NC,2020-02-09,0,Navarra
PV,2020-02-09,1,País Vasco
RI,2020-02-09,0,La Rioja
VC,2020-02-09,0,C. Valenciana
AN,2020-02-10,1,Andalucía
AR,2020-02-10,0,Aragón
AS,2020-02-10,0,Asturias
CB,2020-02-10,0,Cantabria
CE,2020-02-10,0,Ceuta
CL,2020-02-10,1,CyL
CM,2020-02-10,0,CLM
CN,2020-02-10,0,Canarias
CT,2020-02-10,3,Cataluña
EX,2020-02-10,0,Extremadura
GA,2020-02-10,0,Galicia
IB,2020-02-10,2,Baleares
MC,2020-02-10,1,Murcia
MD,2020-02-10,10,Madrid
ML,2020-02-10,0,Melilla
NC,2020-02-10,1,Navarra
PV,2020-02-10,0,País Vasco
RI,2020-02-10,0,La Rioja
VC,2020-02-10,4,C. Valenciana
AN,2020-02-11,1,Andalucía
AR,2020-02-11,1,Aragón
AS,2020-02-11,0,Asturias
CB,2020-02-11,0,Cantabria
CE,2020-02-11,0,Ceuta
CL,2020-02-11,1,CyL
CM,2020-02-11,0,CLM
CN,2020-02-11,0,Canarias
CT,2020-02-11,2,Cataluña
EX,2020-02-11,0,Extremadura
GA,2020-02-11,0,Galicia
IB,2020-02-11,0,Baleares
MC,2020-02-11,0,Murcia
MD,2020-02-11,8,Madrid
ML,2020-02-11,0,Melilla
NC,2020-02-11,0,Navarra
PV,2020-02-11,0,País Vasco
RI,2020-02-11,0,La Rioja
VC,2020-02-11,1,C. Valenciana
AN,2020-02-12,1,Andalucía
AR,2020-02-12,0,Aragón
AS,2020-02-12,0,Asturias
CB,2020-02-12,0,Cantabria
CE,2020-02-12,0,Ceuta
CL,2020-02-12,2,CyL
CM,2020-02-12,0,CLM
CN,2020-02-12,1,Canarias
CT,2020-02-12,5,Cataluña
EX,2020-02-12,0,Extremadura
GA,2020-02-12,0,Galicia
IB,2020-02-12,0,Baleares
MC,2020-02-12,0,Murcia
MD,2020-02-12,9,Madrid
ML,2020-02-12,0,Melilla
NC,2020-02-12,0,Navarra
PV,2020-02-12,2,País Vasco
RI,2020-02-12,0,La Rioja
VC,2020-02-12,1,C. Valenciana
AN,2020-02-13,2,Andalucía
AR,2020-02-13,1,Aragón
AS,2020-02-13,0,Asturias
CB,2020-02-13,0,Cantabria
CE,2020-02-13,1,Ceuta
CL,2020-02-13,3,CyL
CM,2020-02-13,0,CLM
CN,2020-02-13,0,Canarias
CT,2020-02-13,9,Cataluña
EX,2020-02-13,1,Extremadura
GA,2020-02-13,0,Galicia
IB,2020-02-13,0,Baleares
MC,2020-02-13,0,Murcia
MD,2020-02-13,15,Madrid
ML,2020-02-13,0,Melilla
NC,2020-02-13,0,Navarra
PV,2020-02-13,0,País Vasco
RI,2020-02-13,0,La Rioja
VC,2020-02-13,2,C. Valenciana
AN,2020-02-14,1,Andalucía
AR,2020-02-14,0,Aragón
AS,2020-02-14,0,Asturias
CB,2020-02-14,0,Cantabria
CE,2020-02-14,0,Ceuta
CL,2020-02-14,1,CyL
CM,2020-02-14,0,CLM
CN,2020-02-14,1,Canarias
CT,2020-02-14,1,Cataluña
EX,2020-02-14,1,Extremadura
GA,2020-02-14,0,Galicia
IB,2020-02-14,1,Baleares
MC,2020-02-14,1,Murcia
MD,2020-02-14,11,Madrid
ML,2020-02-14,0,Melilla
NC,2020-02-14,0,Navarra
PV,2020-02-14,0,País Vasco
RI,2020-02-14,0,La Rioja
VC,2020-02-14,2,C. Valenciana
AN,2020-02-15,4,Andalucía
AR,2020-02-15,0,Aragón
AS,2020-02-15,0,Asturias
CB,2020-02-15,0,Cantabria
CE,2020-02-15,0,Ceuta
CL,2020-02-15,0,CyL
CM,2020-02-15,0,CLM
CN,2020-02-15,0,Canarias
CT,2020-02-15,9,Cataluña
EX,2020-02-15,2,Extremadura
GA,2020-02-15,0,Galicia
IB,2020-02-15,0,Baleares
MC,2020-02-15,0,Murcia
MD,2020-02-15,13,Madrid
ML,2020-02-15,0,Melilla
NC,2020-02-15,0,Navarra
PV,2020-02-15,3,País Vasco
RI,2020-02-15,0,La Rioja
VC,2020-02-15,4,C. Valenciana
AN,2020-02-16,0,Andalucía
AR,2020-02-16,1,Aragón
AS,2020-02-16,0,Asturias
CB,2020-02-16,0,Cantabria
CE,2020-02-16,0,Ceuta
CL,2020-02-16,0,CyL
CM,2020-02-16,0,CLM
CN,2020-02-16,2,Canarias
CT,2020-02-16,5,Cataluña
EX,2020-02-16,0,Extremadura
GA,2020-02-16,1,Galicia
IB,2020-02-16,0,Baleares
MC,2020-02-16,0,Murcia
MD,2020-02-16,14,Madrid
ML,2020-02-16,0,Melilla
NC,2020-02-16,0,Navarra
PV,2020-02-16,1,País Vasco
RI,2020-02-16,0,La Rioja
VC,2020-02-16,1,C. Valenciana
AN,2020-02-17,2,Andalucía
AR,2020-02-17,1,Aragón
AS,2020-02-17,0,Asturias
CB,2020-02-17,0,Cantabria
CE,2020-02-17,0,Ceuta
CL,2020-02-17,0,CyL
CM,2020-02-17,0,CLM
CN,2020-02-17,0,Canarias
CT,2020-02-17,2,Cataluña
EX,2020-02-17,1,Extremadura
GA,2020-02-17,0,Galicia
IB,2020-02-17,0,Baleares
MC,2020-02-17,3,Murcia
MD,2020-02-17,19,Madrid
ML,2020-02-17,0,Melilla
NC,2020-02-17,0,Navarra
PV,2020-02-17,2,País Vasco
RI,2020-02-17,0,La Rioja
VC,2020-02-17,5,C. Valenciana
AN,2020-02-18,3,Andalucía
AR,2020-02-18,1,Aragón
AS,2020-02-18,0,Asturias
CB,2020-02-18,0,Cantabria
CE,2020-02-18,0,Ceuta
CL,2020-02-18,1,CyL
CM,2020-02-18,0,CLM
CN,2020-02-18,1,Canarias
CT,2020-02-18,4,Cataluña
EX,2020-02-18,0,Extremadura
GA,2020-02-18,1,Galicia
IB,2020-02-18,0,Baleares
MC,2020-02-18,1,Murcia
MD,2020-02-18,14,Madrid
ML,2020-02-18,0,Melilla
NC,2020-02-18,0,Navarra
PV,2020-02-18,0,País Vasco
RI,2020-02-18,0,La Rioja
VC,2020-02-18,2,C. Valenciana
AN,2020-02-19,1,Andalucía
AR,2020-02-19,0,Aragón
AS,2020-02-19,0,Asturias
CB,2020-02-19,0,Cantabria
CE,2020-02-19,0,Ceuta
CL,2020-02-19,1,CyL
CM,2020-02-19,0,CLM
CN,2020-02-19,1,Canarias
CT,2020-02-19,1,Cataluña
EX,2020-02-19,1,Extremadura
GA,2020-02-19,1,Galicia
IB,2020-02-19,0,Baleares
MC,2020-02-19,1,Murcia
MD,2020-02-19,12,Madrid
ML,2020-02-19,0,Melilla
NC,2020-02-19,0,Navarra
PV,2020-02-19,1,País Vasco
RI,2020-02-19,0,La Rioja
VC,2020-02-19,2,C. Valenciana
AN,2020-02-20,8,Andalucía
AR,2020-02-20,0,Aragón
AS,2020-02-20,0,Asturias
CB,2020-02-20,0,Cantabria
CE,2020-02-20,0,Ceuta
CL,2020-02-20,3,CyL
CM,2020-02-20,2,CLM
CN,2020-02-20,1,Canarias
CT,2020-02-20,11,Cataluña
EX,2020-02-20,1,Extremadura
GA,2020-02-20,3,Galicia
IB,2020-02-20,1,Baleares
MC,2020-02-20,0,Murcia
MD,2020-02-20,22,Madrid
ML,2020-02-20,0,Melilla
NC,2020-02-20,1,Navarra
PV,2020-02-20,1,País Vasco
RI,2020-02-20,0,La Rioja
VC,2020-02-20,6,C. Valenciana
AN,2020-02-21,5,Andalucía
AR,2020-02-21,2,Aragón
AS,2020-02-21,0,Asturias
CB,2020-02-21,0,Cantabria
CE,2020-02-21,0,Ceuta
CL,2020-02-21,5,CyL
CM,2020-02-21,0,CLM
CN,2020-02-21,0,Canarias
CT,2020-02-21,14,Cataluña
EX,2020-02-21,1,Extremadura
GA,2020-02-21,0,Galicia
IB,2020-02-21,0,Baleares
MC,2020-02-21,0,Murcia
MD,2020-02-21,27,Madrid
ML,2020-02-21,0,Melilla
NC,2020-02-21,2,Navarra
PV,2020-02-21,3,País Vasco
RI,2020-02-21,1,La Rioja
VC,2020-02-21,3,C. Valenciana
AN,2020-02-22,2,Andalucía
AR,2020-02-22,3,Aragón
AS,2020-02-22,0,Asturias
CB,2020-02-22,0,Cantabria
CE,2020-02-22,0,Ceuta
CL,2020-02-22,2,CyL
CM,2020-02-22,0,CLM
CN,2020-02-22,0,Canarias
CT,2020-02-22,11,Cataluña
EX,2020-02-22,0,Extremadura
GA,2020-02-22,3,Galicia
IB,2020-02-22,0,Baleares
MC,2020-02-22,1,Murcia
MD,2020-02-22,29,Madrid
ML,2020-02-22,0,Melilla
NC,2020-02-22,1,Navarra
PV,2020-02-22,4,País Vasco
RI,2020-02-22,0,La Rioja
VC,2020-02-22,2,C. Valenciana
AN,2020-02-23,2,Andalucía
AR,2020-02-23,1,Aragón
AS,2020-02-23,1,Asturias
CB,2020-02-23,1,Cantabria
CE,2020-02-23,0,Ceuta
CL,2020-02-23,5,CyL
CM,2020-02-23,0,CLM
CN,2020-02-23,2,Canarias
CT,2020-02-23,8,Cataluña
EX,2020-02-23,0,Extremadura
GA,2020-02-23,0,Galicia
IB,2020-02-23,0,Baleares
MC,2020-02-23,1,Murcia
MD,2020-02-23,44,Madrid
ML,2020-02-23,0,Melilla
NC,2020-02-23,1,Navarra
PV,2020-02-23,1,País Vasco
RI,2020-02-23,1,La Rioja
VC,2020-02-23,5,C. Valenciana
AN,2020-02-24,5,Andalucía
AR,2020-02-24,1,Aragón
AS,2020-02-24,0,Asturias
CB,2020-02-24,0,Cantabria
CE,2020-02-24,0,Ceuta
CL,2020-02-24,5,CyL
CM,2020-02-24,4,CLM
CN,2020-02-24,0,Canarias
CT,2020-02-24,14,Cataluña
EX,2020-02-24,0,Extremadura
GA,2020-02-24,1,Galicia
IB,2020-02-24,0,Baleares
MC,2020-02-24,2,Murcia
MD,2020-02-24,57,Madrid
ML,2020-02-24,0,Melilla
NC,2020-02-24,3,Navarra
PV,2020-02-24,6,País Vasco
RI,2020-02-24,2,La Rioja
VC,2020-02-24,15,C. Valenciana
AN,2020-02-25,9,Andalucía
AR,2020-02-25,2,Aragón
AS,2020-02-25,1,Asturias
CB,2020-02-25,8,Cantabria
CE,2020-02-25,0,Ceuta
CL,2020-02-25,6,CyL
CM,2020-02-25,5,CLM
CN,2020-02-25,2,Canarias
CT,2020-02-25,21,Cataluña
EX,2020-02-25,5,Extremadura
GA,2020-02-25,3,Galicia
IB,2020-02-25,0,Baleares
MC,2020-02-25,3,Murcia
MD,2020-02-25,50,Madrid
ML,2020-02-25,0,Melilla
NC,2020-02-25,4,Navarra
PV,2020-02-25,12,País Vasco
RI,2020-02-25,2,La Rioja
VC,2020-02-25,10,C. Valenciana
AN,2020-02-26,9,Andalucía
AR,2020-02-26,2,Aragón
AS,2020-02-26,0,Asturias
CB,2020-02-26,0,Cantabria
CE,2020-02-26,0,Ceuta
CL,2020-02-26,8,CyL
CM,2020-02-26,6,CLM
CN,2020-02-26,7,Canarias
CT,2020-02-26,30,Cataluña
EX,2020-02-26,1,Extremadura
GA,2020-02-26,3,Galicia
IB,2020-02-26,1,Baleares
MC,2020-02-26,1,Murcia
MD,2020-02-26,68,Madrid
ML,2020-02-26,0,Melilla
NC,2020-02-26,5,Navarra
PV,2020-02-26,11,País Vasco
RI,2020-02-26,4,La Rioja
VC,2020-02-26,9,C. Valenciana
AN,2020-02-27,11,Andalucía
AR,2020-02-27,0,Aragón
AS,2020-02-27,0,Asturias
CB,2020-02-27,0,Cantabria
CE,2020-02-27,0,Ceuta
CL,2020-02-27,7,CyL
CM,2020-02-27,9,CLM
CN,2020-02-27,1,Canarias
CT,2020-02-27,15,Cataluña
EX,2020-02-27,3,Extremadura
GA,2020-02-27,7,Galicia
IB,2020-02-27,4,Baleares
MC,2020-02-27,1,Murcia
MD,2020-02-27,94,Madrid
ML,2020-02-27,0,Melilla
NC,2020-02-27,5,Navarra
PV,2020-02-27,14,País Vasco
RI,2020-02-27,9,La Rioja
VC,2020-02-27,15,C. Valenciana
AN,2020-02-28,8,Andalucía
AR,2020-02-28,3,Aragón
AS,2020-02-28,1,Asturias
CB,2020-02-28,0,Cantabria
CE,2020-02-28,0,Ceuta
CL,2020-02-28,11,CyL
CM,2020-02-28,13,CLM
CN,2020-02-28,8,Canarias
CT,2020-02-28,35,Cataluña
EX,2020-02-28,7,Extremadura
GA,2020-02-28,6,Galicia
IB,2020-02-28,4,Baleares
MC,2020-02-28,3,Murcia
MD,2020-02-28,161,Madrid
ML,2020-02-28,0,Melilla
NC,2020-02-28,3,Navarra
PV,2020-02-28,33,País Vasco
RI,2020-02-28,10,La Rioja
VC,2020-02-28,28,C. Valenciana
AN,2020-02-29,9,Andalucía
AR,2020-02-29,6,Aragón
AS,2020-02-29,2,Asturias
CB,2020-02-29,1,Cantabria
CE,2020-02-29,0,Ceuta
CL,2020-02-29,10,CyL
CM,2020-02-29,15,CLM
CN,2020-02-29,6,Canarias
CT,2020-02-29,27,Cataluña
EX,2020-02-29,5,Extremadura
GA,2020-02-29,1,Galicia
IB,2020-02-29,2,Baleares
MC,2020-02-29,3,Murcia
MD,2020-02-29,107,Madrid
ML,2020-02-29,0,Melilla
NC,2020-02-29,5,Navarra
PV,2020-02-29,24,País Vasco
RI,2020-02-29,13,La Rioja
VC,2020-02-29,17,C. Valenciana
AN,2020-03-01,34,Andalucía
AR,2020-03-01,8,Aragón
AS,2020-03-01,2,Asturias
CB,2020-03-01,1,Cantabria
CE,2020-03-01,0,Ceuta
CL,2020-03-01,32,CyL
CM,2020-03-01,66,CLM
CN,2020-03-01,7,Canarias
CT,2020-03-01,86,Cataluña
EX,2020-03-01,5,Extremadura
GA,2020-03-01,7,Galicia
IB,2020-03-01,4,Baleares
MC,2020-03-01,5,Murcia
MD,2020-03-01,320,Madrid
ML,2020-03-01,0,Melilla
NC,2020-03-01,13,Navarra
PV,2020-03-01,47,País Vasco
RI,2020-03-01,22,La Rioja
VC,2020-03-01,44,C. Valenciana
AN,2020-03-02,33,Andalucía
AR,2020-03-02,14,Aragón
AS,2020-03-02,3,Asturias
CB,2020-03-02,0,Cantabria
CE,2020-03-02,0,Ceuta
CL,2020-03-02,44,CyL
CM,2020-03-02,62,CLM
CN,2020-03-02,12,Canarias
CT,2020-03-02,81,Cataluña
EX,2020-03-02,7,Extremadura
GA,2020-03-02,19,Galicia
IB,2020-03-02,6,Baleares
MC,2020-03-02,8,Murcia
MD,2020-03-02,382,Madrid
ML,2020-03-02,0,Melilla
NC,2020-03-02,15,Navarra
PV,2020-03-02,56,País Vasco
RI,2020-03-02,30,La Rioja
VC,2020-03-02,46,C. Valenciana
AN,2020-03-03,42,Andalucía
AR,2020-03-03,7,Aragón
AS,2020-03-03,2,Asturias
CB,2020-03-03,0,Cantabria
CE,2020-03-03,2,Ceuta
CL,2020-03-03,29,CyL
CM,2020-03-03,49,CLM
CN,2020-03-03,8,Canarias
CT,2020-03-03,89,Cataluña
EX,2020-03-03,9,Extremadura
GA,2020-03-03,16,Galicia
IB,2020-03-03,7,Baleares
MC,2020-03-03,6,Murcia
MD,2020-03-03,394,Madrid
ML,2020-03-03,0,Melilla
NC,2020-03-03,18,Navarra
PV,2020-03-03,57,País Vasco
RI,2020-03-03,28,La Rioja
VC,2020-03-03,37,C. Valenciana
AN,2020-03-04,34,Andalucía
AR,2020-03-04,14,Aragón
AS,2020-03-04,2,Asturias
CB,2020-03-04,0,Cantabria
CE,2020-03-04,0,Ceuta
CL,2020-03-04,35,CyL
CM,2020-03-04,62,CLM
