Nombres de la población. 2018
Catalunya
"Fuente: Idescat, a partir del Registro de población de Cataluña."
Nota: ‰ calculado sobre el total de la población en la década seleccionada.
Nota: Sólo se muestran los nombres de frecuencia igual o superior a 4.
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/?lang=es
Pos.,Sexo,Nombre,Ranking. Frecuencia,Ranking. ‰
07630,H,IBRA,33,0.00
07630,M,ISABEL TERESA,33,0.00
07630,M,IVONA,33,0.00
07630,H,IZAR,33,0.00
07630,H,JACKSON,33,0.00
07630,H,JASWINDER SINGH,33,0.00
07630,M,JESSICA LORENA,33,0.00
07630,H,JIANMIN,33,0.00
07630,H,JOAN CARLOS,33,0.00
07630,H,JOAN SEBASTIÀ,33,0.00
07630,H,JOHN HENRY,33,0.00
07630,H,JORGE ESTEBAN,33,0.00
07630,H,JOSE ANIBAL,33,0.00
07630,H,JOSE FERMIN,33,0.00
07630,H,JOSEP JAUME,33,0.00
07630,H,JOSUA,33,0.00
07630,H,JULIO FERNANDO,33,0.00
07630,M,JUTTA,33,0.00
07630,H,JUVENAL,33,0.00
07630,M,JYOTI,33,0.00
07630,M,KADDY,33,0.00
07630,H,KEVIN JOSUÈ/JOSUÉ,33,0.00
07630,H,KEVIN JOSÉ,33,0.00
07630,H,KINGSLEY,33,0.00
07630,H,KWABENA,33,0.00
07630,M,LAMIS,33,0.00
07630,M,LAUREN,33,0.00
07630,M,LAXMI,33,0.00
07630,M,LAYAN,33,0.00
07630,H,LEVANI,33,0.00
07630,M,LIDA,33,0.00
07630,M,LIMEI,33,0.00
07630,M,LISSETTE,33,0.00
07630,H,LUIS ANIBAL,33,0.00
07630,H,LUIS FILIPE,33,0.00
07630,M,LUJÁN,33,0.00
07630,M,LUZ ESTELLA,33,0.00
07630,M,MADINA,33,0.00
07630,H,MAHIR,33,0.00
07630,H,MAMADOU MOUSTAPHA,33,0.00
07630,M,MANAHIL,33,0.00
07630,H,MANUEL TOMÀS/MANUEL TOMÁS,33,0.00
07630,M,MARIA ARAN/MARÍA ARÁN,33,0.00
07630,M,MARIA GEORGINA/MARÍA GEORGINA,33,0.00
07630,M,MARIA GRAZIA,33,0.00
07630,M,MARIA LIDON,33,0.00
07630,M,MARIA LORENZA,33,0.00
07630,M,MARIA PALMIRA,33,0.00
07630,M,MARIA SABINA,33,0.00
07630,M,MARIA SAN PEDRO,33,0.00
07630,M,MARISABEL,33,0.00
07630,M,MARITZA ELIZABETH,33,0.00
07630,M,MARTHA BEATRIZ,33,0.00
07630,H,MARTÍN ANDRÉS,33,0.00
07630,M,MAYSSA,33,0.00
07630,M,MEERAB,33,0.00
07630,H,MEHMOOD,33,0.00
07630,H,MHAND,33,0.00
07630,H,MIGUEL SANTIAGO,33,0.00
07630,H,MIHAI ALEXANDRU,33,0.00
07630,H,MONTSERRAT,33,0.00
07630,M,MORGANA,33,0.00
07630,H,MOUHSINE,33,0.00
07630,H,MUHAMMAD IMRAN,33,0.00
07630,H,MUHAMMAD UMAR,33,0.00
07630,M,MYA,33,0.00
07630,M,NANCY BEATRIZ,33,0.00
07630,H,NASAR,33,0.00
07630,M,NATASA,33,0.00
07630,M,NATÀLIA LORENA/NATALIA LORENA,33,0.00
07630,M,NERET,33,0.00
07630,H,NOUREDINE,33,0.00
07630,M,ODALIS,33,0.00
07630,M,OLGA CECILIA,33,0.00
07630,M,OMNIA,33,0.00
07630,M,ORFELINA,33,0.00
07630,M,PAULA ISABEL,33,0.00
07630,H,PEDRO GABRIEL,33,0.00
07630,M,PERFECTA,33,0.00
07630,M,PETRA MARIA,33,0.00
07630,H,PIUS,33,0.00
07630,H,ROBERTO JESUS,33,0.00
07630,H,RONY,33,0.00
07630,M,ROSA ANTONIA,33,0.00
07630,H,RUBÈN DANIEL/RUBÉN DANIEL,33,0.00
07630,H,RUDY,33,0.00
07630,H,RUMEN,33,0.00
07630,H,RUSTAM,33,0.00
07630,M,SADIKA,33,0.00
07630,H,SALOUM,33,0.00
07630,H,SANCHO,33,0.00
07630,M,SANDRA ELENA,33,0.00
07630,M,SEHRISH,33,0.00
07630,H,SERGIO JESÚS,33,0.00
07630,H,SHALVA,33,0.00
07630,H,SOHAYB,33,0.00
07630,M,SONIA MARGARITA,33,0.00
07630,M,SOUAAD,33,0.00
07630,H,SUKHWINDER SINGH,33,0.00
07630,H,TARSEM,33,0.00
07630,M,THERESE,33,0.00
07630,H,TOADER,33,0.00
07630,M,TORIBIA,33,0.00
07630,M,ULRIKE,33,0.00
07630,M,ULYANA,33,0.00
07630,H,VICENTE JUAN,33,0.00
07630,M,WEAM,33,0.00
07630,M,WIJDANE,33,0.00
07630,H,WISSAM,33,0.00
07630,M,XIXI,33,0.00
07630,H,YE,33,0.00
07630,H,YEISON,33,0.00
07630,M,ZEINAB,33,0.00
07630,M,ZLATA,33,0.00
07630,H,ÒSCAR JUAN/ÓSCAR JUAN,33,0.00
07830,H,ABDELMOUMEN,32,0.00
07830,H,ABDELOUAFI,32,0.00
07830,M,ADHARA,32,0.00
07830,H,ADRIAN FLORIN,32,0.00
07830,M,AHINARA,32,0.00
07830,H,AJAY,32,0.00
07830,H,ALEJANDRO CARLOS,32,0.00
07830,H,ALEJANDRO JUAN,32,0.00
07830,H,ALEXANDROS,32,0.00
07830,H,ALEXANDRU CRISTIAN,32,0.00
07830,H,ALEXANDRU MARIAN,32,0.00
07830,H,ALFONSO JESÚS,32,0.00
07830,M,ALISSON,32,0.00
07830,M,ANA IRIS,32,0.00
07830,M,ANDREA ALEXANDRA,32,0.00
07830,H,ANDRES ENRIQUE,32,0.00
07830,M,ANIANA,32,0.00
07830,M,ANTONIA DOLORES,32,0.00
07830,M,ANYA,32,0.00
07830,M,ARA,32,0.00
07830,M,ARBIA,32,0.00
07830,M,AROOJ,32,0.00
07830,H,ARUN,32,0.00
07830,M,ASHLEY NICOLE,32,0.00
07830,M,ASYA,32,0.00
07830,H,AUSIÀS/AUSIAS,32,0.00
07830,H,BELISARIO,32,0.00
07830,H,BENICIO,32,0.00
07830,M,BIBI,32,0.00
07830,M,BLANCA INES,32,0.00
07830,H,CARLOS SEBASTIÁN,32,0.00
07830,M,CARMEN YOLANDA,32,0.00
07830,M,CAROLINA ISABEL,32,0.00
07830,M,CELERINA,32,0.00
07830,H,CHRISTIAN FERNANDO,32,0.00
07830,M,CLÀUDIA LUCIA/CLAUDIA LUCÍA,32,0.00
07830,M,CRISPINA,32,0.00
07830,M,CRISTINA BEATRIZ,32,0.00
07830,M,DALI,32,0.00
07830,H,DANIEL RICARDO,32,0.00
07830,M,DANIELA CRISTINA,32,0.00
07830,H,DAWEI,32,0.00
07830,H,DAWOOD,32,0.00
07830,M,DAYSI,32,0.00
07830,H,DOMINGO JAVIER,32,0.00
07830,M,DUMITRA,32,0.00
07830,H,ENRIQUE ALEJANDRO,32,0.00
07830,H,ENRIQUE CARLOS,32,0.00
07830,H,ESAU/ESAÚ,32,0.00
07830,H,FABIEN,32,0.00
07830,M,FABIENNE,32,0.00
07830,H,FARHAD,32,0.00
07830,M,FEIFEI,32,0.00
07830,H,FELIPE JAVIER,32,0.00
07830,H,FLORIN DANIEL,32,0.00
07830,M,FREYA,32,0.00
07830,M,GABRIELA CAROLINA,32,0.00
07830,M,GALYA,32,0.00
07830,H,GENER,32,0.00
07830,M,GENEVIEVE,32,0.00
07830,H,GEORGII,32,0.00
07830,H,GERHARD,32,0.00
07830,H,GILLES,32,0.00
07830,M,GLORIA MERCEDES,32,0.00
07830,M,GOUNDO,32,0.00
07830,H,HAITHAM,32,0.00
07830,H,HARMANPREET,32,0.00
07830,H,HELDER,32,0.00
07830,H,HIGINI,32,0.00
07830,H,HUGO ALEJANDRO,32,0.00
07830,H,IAROSLAV,32,0.00
07830,H,IGNACIO ANDRES,32,0.00
07830,H,IGNACIO JESUS,32,0.00
07830,H,IHSAN,32,0.00
07830,M,INESSA,32,0.00
07830,M,ISABEL MARGARITA,32,0.00
07830,M,ISHA,32,0.00
07830,H,JAIME MIGUEL,32,0.00
07830,M,JASMEEN,32,0.00
07830,M,JEAN,32,0.00
07830,H,JOAN DANIEL,32,0.00
07830,H,JOAN ÀNGEL/JOAN ÁNGEL,32,0.00
07830,M,JOANNE,32,0.00
07830,H,JORDI DANIEL,32,0.00
07830,H,JORGE OSCAR,32,0.00
07830,H,JOSE RODOLFO,32,0.00
07830,H,JOSEP TOMÀS/JOSEP TOMÁS,32,0.00
07830,H,JUANITO,32,0.00
07830,H,JULIO ERNESTO,32,0.00
07830,H,JULIUS,32,0.00
07830,M,JUNCAL,32,0.00
07830,M,KARINA ANDREA,32,0.00
07830,H,KARLOS,32,0.00
07830,M,KATALIN,32,0.00
07830,M,KATRINA,32,0.00
07830,H,KEVIN JOEL,32,0.00
07830,M,LAIDA,32,0.00
07830,M,LAIS,32,0.00
07830,M,LAURA VERONICA,32,0.00
07830,H,LEÒNIDES,32,0.00
07830,H,LHASSAN,32,0.00
07830,M,LISANDRA,32,0.00
07830,M,LIUBA,32,0.00
07830,H,LLUCIA,32,0.00
07830,H,LLUÍS ENRIC,32,0.00
07830,H,LONG,32,0.00
07830,M,LORENA ELIZABETH,32,0.00
07830,M,LORENA PATRICIA,32,0.00
07830,H,LORETO,32,0.00
07830,M,LOU,32,0.00
07830,H,LUCIA,32,0.00
07830,H,LUDOVIC,32,0.00
07830,H,LUIS AUGUSTO,32,0.00
07830,H,LUIS RAÚL,32,0.00
07830,M,MAISAE,32,0.00
07830,H,MANPREET SINGH,32,0.00
07830,M,MARIA CIELO,32,0.00
07830,M,MARIA DEL MONTE,32,0.00
07830,M,MARIA ELVA,32,0.00
07830,M,MARIA EUSEBIA,32,0.00
07830,M,MARIA HILDA,32,0.00
07830,M,MARIA IRIS/MARÍA IRIS,32,0.00
07830,M,MARIA MIHAELA,32,0.00
07830,M,MARIA RESURRECCION,32,0.00
07830,M,MARIELA ALEJANDRA,32,0.00
07830,M,MARIELLA,32,0.00
07830,M,MARTA CECILIA,32,0.00
07830,M,MARTA LUISA,32,0.00
07830,H,MATÍAS ANDRÉS,32,0.00
07830,M,MAUREEN,32,0.00
07830,M,MEIHUA,32,0.00
07830,H,MIGUEL ALFONSO,32,0.00
07830,H,MOHAMED ADAM,32,0.00
07830,H,MOHSINE,32,0.00
07830,H,MORRO,32,0.00
07830,H,NADAL,32,0.00
07830,M,NARIMAN,32,0.00
07830,M,NARJISS,32,0.00
07830,M,NATÀLIA CAROLINA/NATALIA CAROLINA,32,0.00
07830,M,NERINA,32,0.00
07830,M,NICOLE ALEJANDRA,32,0.00
07830,H,NIKLAS,32,0.00
07830,H,NOA,32,0.00
07830,H,OUMAROU,32,0.00
07830,H,PABLO MARCELO,32,0.00
07830,H,PANAGIOTIS,32,0.00
07830,H,PAULO ROBERTO,32,0.00
07830,M,PAVLINA,32,0.00
07830,H,PERE FRANCESC,32,0.00
07830,H,RADI,32,0.00
07830,H,RAJ,32,0.00
07830,H,RALPH,32,0.00
07830,M,RIMMA,32,0.00
07830,H,ROBERTO MANUEL,32,0.00
07830,H,RODOLF,32,0.00
07830,M,ROSA ESTHER,32,0.00
07830,M,ROSE MARIE,32,0.00
07830,H,SANDOR,32,0.00
07830,H,SANTO,32,0.00
07830,M,SARA ELENA,32,0.00
07830,M,SARABJIT,32,0.00
07830,H,SEDDIK,32,0.00
07830,M,SNEZHANA,32,0.00
07830,M,SONIA BEATRIZ,32,0.00
07830,M,STEPHANIA,32,0.00
07830,H,TAHER,32,0.00
07830,M,TIDA,32,0.00
07830,H,VARDAN,32,0.00
07830,M,VERONICA ISABEL,32,0.00
07830,H,VITOR MANUEL,32,0.00
07830,H,VÍCTOR ALEXANDER,32,0.00
07830,H,WALDEMAR,32,0.00
07830,M,WIJDAN,32,0.00
07830,H,XUAN,32,0.00
07830,H,YICHEN,32,0.00
07830,H,YIHAO,32,0.00
07830,M,YINA,32,0.00
07830,M,YIXUAN,32,0.00
07830,M,YOMARA,32,0.00
07830,M,YUNE,32,0.00
07830,H,YUSSEF,32,0.00
07830,H,YVAN,32,0.00
07830,M,ZAKIYA,32,0.00
07830,M,ZOIA,32,0.00
07830,H,ÀNGEL ALEJANDRO/ÁNGEL ALEJANDRO,32,0.00
07830,H,ÁLVARO LUIS,32,0.00
08016,H,ABDELAALI,31,0.00
08016,M,ADAYA,31,0.00
08016,M,AILI,31,0.00
08016,M,AIQIN,31,0.00
08016,M,AIRA,31,0.00
08016,H,AKBAR,31,0.00
08016,H,ALBERTO ALEJANDRO,31,0.00
08016,M,ALEENA,31,0.00
08016,M,ALETH,31,0.00
08016,H,ALEXIS JOSÉ,31,0.00
08016,M,AMARILIS,31,0.00
08016,M,AMARJIT,31,0.00
08016,H,AMEER,31,0.00
08016,M,ANA CATALINA,31,0.00
08016,M,ANA CATERINA,31,0.00
08016,M,ANA EMILIA,31,0.00
08016,M,ANA MAGDALENA,31,0.00
08016,H,ANDRE LUIZ,31,0.00
08016,M,ANDREA GABRIELA,31,0.00
08016,H,ANDREW JAMES,31,0.00
08016,H,ANTERO,31,0.00
08016,H,ARNULFO,31,0.00
08016,M,AUXILIADORA,31,0.00
08016,M,BEL,31,0.00
08016,M,CAMILA BELÉN,31,0.00
08016,M,CAMINO,31,0.00
08016,M,CARMEN ELISA,31,0.00
08016,M,CARMEN LUZ,31,0.00
08016,H,CASILDO,31,0.00
08016,M,CHAFIA,31,0.00
08016,H,CHEICKNE,31,0.00
08016,M,CINTHIA CAROLINA,31,0.00
08016,M,CLARA LUZ,31,0.00
08016,M,CLÀUDIA INÉS,31,0.00
08016,H,COLIN,31,0.00
08016,M,CORALI,31,0.00
08016,M,CRISTETA,31,0.00
08016,H,CRISTIAN FLORIN,31,0.00
08016,M,CRISTINA MONTSERRAT,31,0.00
08016,M,DOINITA,31,0.00
08016,H,DOMINGO MANUEL,31,0.00
08016,M,DOMINIKA,31,0.00
08016,M,DOUNYA,31,0.00
08016,H,EJAZ,31,0.00
08016,M,EKRAM,31,0.00
08016,M,ELENA DANIELA,31,0.00
08016,M,ELZA,31,0.00
08016,H,ERICK ALEXANDER,31,0.00
08016,M,EVA BELEN,31,0.00
08016,H,FABIO ANDRÉS,31,0.00
08016,M,FATEMEH,31,0.00
08016,H,FEDERICO MANUEL,31,0.00
08016,H,FELIX ANGEL,31,0.00
08016,H,FILIPE,31,0.00
08016,H,FOUSSEYNI,31,0.00
08016,M,FRANCISCA PILAR,31,0.00
08016,H,FÉLIX ALBERTO,31,0.00
08016,M,GABRIELA ANDREA,31,0.00
08016,M,GADEA,31,0.00
08016,H,GANG,31,0.00
08016,H,GERAI,31,0.00
08016,M,GILDA,31,0.00
08016,M,GINA MARIA/GINA MARÍA,31,0.00
08016,M,GLORIA CECILIA,31,0.00
08016,M,GLÒRIA MARINA/GLORIA MARINA,31,0.00
08016,H,GURINDER,31,0.00
08016,M,HAJIBA,31,0.00
08016,M,HAREEM,31,0.00
08016,H,HARPAL,31,0.00
08016,H,HODAIFA,31,0.00
08016,M,HORIA,31,0.00
08016,H,HUGO MIGUEL,31,0.00
08016,M,IBTIHAL,31,0.00
08016,M,IGNASIA,31,0.00
08016,M,INARA,31,0.00
08016,H,IRAI,31,0.00
08016,M,IRINA MARIA,31,0.00
08016,H,JALIL,31,0.00
08016,M,JANNETH,31,0.00
08016,M,JESSICA ELIZABETH,31,0.00
08016,H,JESÚS JUAN,31,0.00
08016,H,JOAN FERRAN,31,0.00
08016,H,JOAQUÍN VICENTE,31,0.00
08016,H,JOEL ANTONIO,31,0.00
08016,H,JORDI ALEXANDER,31,0.00
08016,H,JORDI MARIA,31,0.00
08016,H,JORGE GUILLERMO,31,0.00
08016,H,JORGE MARÍA,31,0.00
08016,H,JORGE NICOLAS,31,0.00
08016,H,JOSE GONZALO,31,0.00
08016,M,JOSUNE,31,0.00
08016,H,JUAN BENITO,31,0.00
08016,H,JUAN MARIO,31,0.00
08016,H,JULIÁN ALBERTO,31,0.00
08016,M,JÈSSICA ALEJANDRA/JESSICA ALEJANDRA,31,0.00
08016,M,KALA,31,0.00
08016,H,KARAMBA,31,0.00
08016,H,KEITA,31,0.00
08016,H,KENAN,31,0.00
08016,M,KHADIDJA,31,0.00
08016,H,KIAN,31,0.00
08016,H,KOLDO,31,0.00
08016,M,LAURA MONTSERRAT,31,0.00
08016,H,LAZAR,31,0.00
08016,H,LEOPOLD,31,0.00
08016,H,LLUIS GONZAGA,31,0.00
08016,M,LORENA PAOLA,31,0.00
08016,H,LORIEN,31,0.00
08016,M,LUCIENE,31,0.00
08016,M,LUCÍA DEL CARMEN,31,0.00
08016,H,LUIS ADOLFO,31,0.00
08016,H,LUIS GERMAN,31,0.00
08016,H,LUIS RODRIGO,31,0.00
08016,H,MAIK,31,0.00
08016,H,MANOJ,31,0.00
08016,H,MARC ENRIC,31,0.00
08016,M,MARCELA BEATRIZ,31,0.00
08016,M,MARIA ALINA/MARÍA ALINA,31,0.00
08016,M,MARIA CREU,31,0.00
08016,M,MARIA DE LOS DESAMPARADOS,31,0.00
08016,M,MARIA DESIRÉE/MARÍA DESIRÉE,31,0.00
08016,M,MARIA DIANA/MARÍA DIANA,31,0.00
08016,M,MARIA ISABELLA/MARÍA ISABELLA,31,0.00
08016,M,MARIA PURIFICACIO,31,0.00
08016,M,MARIA RAMOS,31,0.00
08016,M,MARIA REINA/MARÍA REINA,31,0.00
08016,M,MARIE CLAIRE,31,0.00
08016,M,MARIETOU,31,0.00
08016,M,MARIKA,31,0.00
08016,M,MARILENE,31,0.00
08016,H,MARIO MANUEL,31,0.00
08016,H,MARIUS IOAN,31,0.00
08016,M,MARLA,31,0.00
08016,M,MARTA MONTSERRAT,31,0.00
08016,M,MARTHA ELIZABETH,31,0.00
08016,H,MARTÍN IGNACIO,31,0.00
08016,H,MATEI,31,0.00
08016,H,MOAAD,31,0.00
08016,H,MOUHAMADOU MOUSTAPHA,31,0.00
08016,H,MURAT,31,0.00
08016,M,MUSKAN,31,0.00
08016,M,MYRIAN,31,0.00
08016,M,NAHLA,31,0.00
08016,M,NAJIHA,31,0.00
08016,M,NASTASIA,31,0.00
08016,H,NAVJOT,31,0.00
08016,H,NELSON ENRIQUE,31,0.00
08016,M,NELY,31,0.00
08016,M,NICANORA,31,0.00
08016,M,NICOLE ALEXANDRA,31,0.00
08016,M,NIKOLE,31,0.00
08016,M,NORMA LETICIA,31,0.00
08016,M,NÚRIA ROSA/NURIA ROSA,31,0.00
08016,M,OCTAVIA,31,0.00
08016,H,ODILO,31,0.00
08016,H,PATRICIO ALEJANDRO,31,0.00
08016,M,POONAM,31,0.00
08016,H,RAFAEL ANDRÉS,31,0.00
08016,H,RAMON EMILIO,31,0.00
08016,H,ROMMEL,31,0.00
08016,M,ROXANA ELENA,31,0.00
08016,M,SAFIATOU,31,0.00
08016,M,SALUSTIANA,31,0.00
08016,H,SANTIAGO DAVID,31,0.00
08016,M,SARAH LOUISE,31,0.00
08016,M,SARBJIT,31,0.00
08016,H,SETH,31,0.00
08016,M,SORAIDA,31,0.00
08016,H,SOULIMANE,31,0.00
08016,M,STANISLAVA,31,0.00
08016,H,SUBHAN,31,0.00
08016,M,SYRA,31,0.00
08016,M,TAMILA,31,0.00
08016,M,TERESA JOSEFA,31,0.00
08016,M,THERESA,31,0.00
08016,M,TRACY,31,0.00
08016,M,VICTORITA,31,0.00
08016,M,VITÒRIA/VITORIA,31,0.00
08016,M,WALAE,31,0.00
08016,M,XIAOFANG,31,0.00
08016,M,XIN YI,31,0.00
08016,M,XUEFEN,31,0.00
08016,H,YAZID,31,0.00
08016,H,YOUSSOUPHA,31,0.00
08016,H,YUCHEN,31,0.00
08016,H,ZAKARYA,31,0.00
08016,H,ZBIGNIEW,31,0.00
08016,H,ZOUMANA,31,0.00
08016,H,ÁLVARO DANIEL,31,0.00
08016,H,ÁNGEL PEDRO,31,0.00
08206,H,ABDELELAH,30,0.00
08206,H,ABDELJABBAR,30,0.00
08206,H,AGRIPINO,30,0.00
08206,H,AIRAN,30,0.00
08206,H,ALBAN,30,0.00
08206,H,ALEX XAVIER/ÀLEX XAVIER/ÁLEX XAVIER,30,0.00
08206,H,AMADOU OURY,30,0.00
08206,H,AMAURY,30,0.00
08206,M,AMBREEN,30,0.00
08206,M,ANA MÍRIAM,30,0.00
08206,M,ANA ROCÍO,30,0.00
08206,M,ANALIA VERONICA,30,0.00
08206,M,ANDREA BEATRIZ,30,0.00
08206,M,ANDREA LUCIA/ANDREA LUCÍA,30,0.00
08206,M,ANDREA SOLEDAD,30,0.00
08206,H,ANDREJ,30,0.00
08206,M,ANIRA,30,0.00
08206,M,ANTONELA,30,0.00
08206,H,ARNEL,30,0.00
08206,H,BENVINGUT,30,0.00
08206,H,BERTRAND,30,0.00
08206,H,BRAIMA,30,0.00
08206,H,CANDELARIO,30,0.00
08206,H,CARLES JOSEP,30,0.00
08206,H,CARLOS ANÍBAL,30,0.00
08206,M,CARMEN MARGARITA,30,0.00
08206,M,CASIANA,30,0.00
08206,H,CESAR DANIEL,30,0.00
08206,M,CHAMS,30,0.00
08206,M,CHUNMEI,30,0.00
08206,M,CINTHYA,30,0.00
08206,M,CLARISSA,30,0.00
08206,M,CLEOFE,30,0.00
08206,M,CORPUS,30,0.00
08206,H,CRISTIAN IOAN,30,0.00
08206,M,CRISTINA ALEXANDRA,30,0.00
08206,H,DANIEL ALFONSO,30,0.00
08206,H,DANIEL FLORIN,30,0.00
08206,H,DANIEL OMAR,30,0.00
08206,H,DANIEL SANTIAGO,30,0.00
08206,H,DANIEL ÒSCAR/DANIEL ÓSCAR,30,0.00
08206,H,DARKO,30,0.00
08206,H,DAVID EMANUEL,30,0.00
08206,H,DENZEL,30,0.00
08206,M,DOLORES ISABEL,30,0.00
08206,M,DONATA,30,0.00
08206,H,EBER,30,0.00
08206,M,EDIT,30,0.00
08206,H,EDWIN ALEXANDER,30,0.00
08206,H,EDWIN ANTONIO,30,0.00
08206,H,EL AMINE,30,0.00
08206,H,EL HOUARI,30,0.00
08206,M,ELENA ALEXANDRA,30,0.00
08206,M,ENERITZ,30,0.00
08206,M,ERIKA ANDREA,30,0.00
08206,H,ESTEFAN,30,0.00
08206,M,EVANGELINE,30,0.00
08206,M,EWELINA,30,0.00
08206,H,FADIL,30,0.00
08206,M,FARA,30,0.00
08206,M,FAYROUZ,30,0.00
08206,M,FIKRIA,30,0.00
08206,M,FRANZISKA,30,0.00
08206,M,FREDESVINDA,30,0.00
08206,M,FÀTIMA ZOUHRA/FÁTIMA ZOUHRA,30,0.00
08206,H,GABRIEL JESUS,30,0.00
08206,M,GABY,30,0.00
08206,H,GAVRILA,30,0.00
08206,M,GEORGETTE,30,0.00
08206,M,GRISEL,30,0.00
08206,M,GRÈCIA/GRECIA,30,0.00
08206,H,GUILLERMO JESÚS,30,0.00
08206,H,HAJIE,30,0.00
08206,M,HALEEMA,30,0.00
08206,M,HALINA,30,0.00
08206,H,HARUN,30,0.00
08206,H,HEBER,30,0.00
08206,H,HERMANN,30,0.00
08206,M,HILDEGARD,30,0.00
08206,M,HONGMEI,30,0.00
08206,H,HUC,30,0.00
08206,H,HUGO ANTONIO,30,0.00
08206,H,HUGO ENRIQUE,30,0.00
08206,M,HUMA,30,0.00
08206,H,HÈCTOR GABRIEL/HÉCTOR GABRIEL,30,0.00
08206,H,HÈCTOR RAÜL/HÉCTOR RAÚL,30,0.00
08206,H,IGNACIO LUIS,30,0.00
08206,M,ILDIKO,30,0.00
08206,H,ILYASSE,30,0.00
08206,M,IRIAN,30,0.00
08206,H,ITALO,30,0.00
08206,H,JAGDEEP,30,0.00
08206,H,JAVIER MIGUEL,30,0.00
08206,H,JIAWEI,30,0.00
08206,H,JOAN ORIOL,30,0.00
08206,H,JORDI CARLES,30,0.00
08206,H,JORDI JAUME,30,0.00
08206,H,JORGE JOAQUÍN,30,0.00
08206,M,JOSEFA MONTSERRAT,30,0.00
08206,M,JOSEFA TERESA,30,0.00
08206,M,JOSEFINA MARIA,30,0.00
08206,H,JOSÉ ALONSO,30,0.00
08206,M,JOVANA,30,0.00
08206,H,JOZEF,30,0.00
08206,H,JUAN EUGENIO,30,0.00
08206,M,JULIE ANN,30,0.00
08206,M,JULIJA,30,0.00
08206,H,JULIO RAMON,30,0.00
08206,H,KAKHABER,30,0.00
08206,H,KARAMOKO,30,0.00
08206,M,KAREN LIZETH,30,0.00
08206,H,KENNY,30,0.00
08206,H,KEVIN EDUARDO,30,0.00
08206,M,KHADRA,30,0.00
08206,H,KHIZAR,30,0.00
08206,H,KUN,30,0.00
08206,M,LAETITIA,30,0.00
08206,M,LAURE,30,0.00
08206,M,LEIDY TATIANA,30,0.00
08206,H,LIBRADO,30,0.00
08206,M,LIDIA ESTHER,30,0.00
08206,M,LILIBETH,30,0.00
08206,M,LINGLI,30,0.00
08206,M,LONGINA,30,0.00
08206,M,LORENA BEATRIZ,30,0.00
08206,M,LORENA ISABEL,30,0.00
08206,H,LUIS JOAQUÍN,30,0.00
08206,H,LUIS OSWALDO,30,0.00
08206,M,LUPE,30,0.00
08206,M,MADDALENA,30,0.00
08206,M,MAISSAE,30,0.00
08206,H,MARCELO EDUARDO,30,0.00
08206,M,MARIA ADORACIO,30,0.00
08206,M,MARIA DUNIA,30,0.00
08206,M,MARIA EDITH,30,0.00
08206,M,MARIA TURA,30,0.00
08206,M,MARITA,30,0.00
08206,M,MARITES,30,0.00
08206,H,MARIUS CRISTIAN,30,0.00
08206,M,MARTA TERESA,30,0.00
08206,M,MARY ELIZABETH,30,0.00
08206,M,MARY ISABEL,30,0.00
08206,M,MATY,30,0.00
08206,H,MAURICE,30,0.00
08206,H,MAURICIO JOSÉ,30,0.00
08206,M,MAYRA ELIZABETH,30,0.00
08206,M,MIRIAM BEATRIZ,30,0.00
08206,H,MOHAMED LAMIN,30,0.00
08206,H,MOHAMEDI,30,0.00
08206,H,MOHIT,30,0.00
08206,M,MONICA RAQUEL,30,0.00
08206,H,MOUHAMADOU LAMINE,30,0.00
08206,H,MUNEEB,30,0.00
08206,M,MÒNICA ELENA/MÓNICA ELENA,30,0.00
08206,M,NATZARET,30,0.00
08206,H,NELSON JAVIER,30,0.00
08206,H,NICOLAS JAVIER,30,0.00
08206,H,NORDINE,30,0.00
08206,M,NORMA MARIA,30,0.00
08206,M,OANA MARIA,30,0.00
08206,H,ONKAR,30,0.00
08206,M,OUMY,30,0.00
08206,H,PABLO ROBERTO,30,0.00
08206,M,PATRÍCIA BEATRIZ/PATRICIA BEATRIZ,30,0.00
08206,H,PEDRO JULIO,30,0.00
08206,M,PRISCA,30,0.00
08206,H,QING,30,0.00
08206,H,RABIA,30,0.00
08206,M,RAMIRA,30,0.00
08206,M,RONGRONG,30,0.00
08206,M,ROSE MARY,30,0.00
08206,H,RUBÈN MANUEL/RUBÉN MANUEL,30,0.00
08206,M,RUT MARIA,30,0.00
08206,H,SALAM,30,0.00
08206,H,SALVADOR ANTONIO,30,0.00
08206,M,SANDRA LUCIA,30,0.00
08206,H,SANJAY,30,0.00
08206,H,SANJEEV,30,0.00
08206,H,SANNA,30,0.00
08206,H,SANTIAGO JESÚS,30,0.00
08206,M,SARA RAQUEL,30,0.00
08206,H,SEBASTIÁN DANIEL,30,0.00
08206,M,SHAIMA,30,0.00
08206,M,SHUANG,30,0.00
08206,H,SI MOHAMED,30,0.00
08206,M,SILVIA ELIZABETH,30,0.00
08206,M,SILVIA ISABEL,30,0.00
08206,M,SISI,30,0.00
08206,M,SORAIA,30,0.00
08206,H,SOREN,30,0.00
08206,M,SORINA,30,0.00
08206,H,SOUFYAN,30,0.00
08206,H,SOUFYANE,30,0.00
08206,H,STEPHEN JOHN,30,0.00
08206,M,SURI,30,0.00
08206,M,TALITA,30,0.00
